Country,Coordinates,lat,lon
United Kingdom of Great Britain and Northern Ireland,"(54.7023545, -3.2765753)",54.7023545,-3.2765753
Israel,"(39.3181528, -79.8109014)",31.046051,34.851612
Netherlands,"(52.2434979, 5.6343227)",52.2434979,5.6343227
United States of America,"(39.7837304, -100.445882)",39.7837304,-100.445882
Czech Republic,"(49.7439047, 15.3381061)",49.7439047,15.3381061
Austria,"(47.59397, 14.12456)",47.59397,14.12456
Italy,"(42.6384261, 12.674297)",42.6384261,12.674297
Canada,"(61.0666922, -107.991707)",61.0666922,-107.991707
Germany,"(40.4203479, -79.1166983)",51.165691,10.451526
Ireland,"(52.865196, -7.9794599)",52.865196,-7.9794599
Poland,"(52.215933, 19.134422)",52.215933,19.134422
Madagascar,"(-18.9249604, 46.4416422)",-18.9249604,46.4416422
Norway,"(64.5731537, 11.52803643954819)",64.5731537,11.52803643954819
Taiwan,"(23.5983227, 120.83537694479215)",23.5983227,120.83537694479215
France,"(46.603354, 1.8883335)",46.603354,1.8883335
Brazil,"(-10.3333333, -53.2)",-10.3333333,-53.2
Uruguay,"(-32.8755548, -56.0201525)",-32.8755548,-56.0201525
Sweden,"(44.133435, -70.822678)",60.128161,18.643501
Spain,"(39.3260685, -4.8379791)",39.3260685,-4.8379791
Turkey,"(38.9597594, 34.9249653)",38.9597594,34.9249653
Romania,"(45.9852129, 24.6859225)",45.9852129,24.6859225
Singapore,"(1.357107, 103.8194992)",1.357107,103.8194992
India,"(22.3511148, 78.6677428)",22.3511148,78.6677428
Belgium,"(50.6402809, 4.6667145)",50.6402809,4.6667145
Bulgaria,"(46.7889169, 23.6184909)",42.7339,25.4858
Greece,"(43.2097838, -77.6930602)",39.074208,21.824312
Portugal,"(39.6621648, -8.1353519)",39.6621648,-8.1353519
Russian Federation,"(64.6863136, 97.7453061)",64.6863136,97.7453061
Saudi Arabia,"(25.6242618, 42.3528328)",25.6242618,42.3528328
Mexico,"(19.4326296, -99.1331785)",19.4326296,-99.1331785
Kenya,"(1.4419683, 38.4313975)",1.4419683,38.4313975
Switzerland,"(46.7985624, 8.2319736)",46.7985624,8.2319736
Latvia,"(56.8406494, 24.7537645)",56.8406494,24.7537645
South Africa,"(-28.8166236, 24.991639)",-28.8166236,24.991639
Thailand,"(13.03876215, 101.70017611907599)",13.03876215,101.70017611907599
China,"(30.047992, -94.3357433)",35.86166,104.195397
Montenegro,"(-12.6998188, -38.3260762)",-12.6998188,-38.3260762
Finland,"(63.2467777, 25.9209164)",63.2467777,25.9209164
Slovakia,"(48.7411522, 19.4528646)",48.7411522,19.4528646
Japan,"(36.5748441, 139.2394179)",36.5748441,139.2394179
