Country,EdLevel,YearsCodePro,Salary
50,2,5.0,40205.0
24,0,17.0,215232.0
29,2,6.0,49056.0
50,0,2.0,60307.0
51,0,5.0,65000.0
11,0,4.0,19224.0
2,2,10.0,202623.0
2,1,22.0,51192.0
25,2,4.0,34126.0
7,1,20.0,97605.0
17,2,9.0,90647.0
51,0,5.0,106960.0
51,2,14.0,130000.0
51,0,21.0,102000.0
51,1,15.0,130000.0
24,1,3.0,68160.0
51,0,5.0,135000.0
17,1,25.0,106644.0
17,1,4.0,51192.0
35,0,3.0,38856.0
51,0,10.0,170000.0
31,0,7.0,103705.0
51,2,5.0,141000.0
47,0,3.0,55163.0
29,0,8.0,46704.0
17,0,2.0,63986.0
7,0,4.0,66372.0
16,3,14.0,74651.0
51,0,12.0,150000.0
5,2,20.0,24924.0
32,1,15.0,38808.0
17,0,2.0,63986.0
45,0,6.0,50220.0
51,2,20.0,160000.0
16,2,10.0,87448.0
32,1,20.0,150000.0
50,0,7.0,69102.0
51,0,7.0,95000.0
43,0,8.0,95979.0
17,2,6.0,71451.0
45,0,5.0,57288.0
16,2,5.0,63986.0
16,2,19.0,63986.0
51,2,5.0,166000.0
50,3,3.0,52769.0
51,0,4.0,92000.0
24,0,6.0,143484.0
48,1,7.0,12024.0
50,0,4.0,47743.0
51,2,17.0,200000.0
25,0,5.0,93420.0
51,1,5.0,35000.0
50,0,7.0,75384.0
43,1,8.0,44790.0
50,0,10.0,78525.0
35,2,20.0,76313.0
32,1,12.0,26868.0
51,0,3.0,110000.0
7,0,4.0,66372.0
45,2,4.0,81672.0
25,1,12.0,21120.0
7,0,5.0,78084.0
51,0,5.0,98000.0
51,0,24.0,144000.0
50,0,20.0,123127.0
24,0,10.0,197292.0
7,0,1.0,35138.0
50,2,11.0,80409.0
20,0,12.0,15480.0
51,2,11.0,200000.0
51,0,1.0,132000.0
4,0,9.0,63984.0
17,3,7.0,92136.0
6,2,9.0,32712.0
29,0,3.0,38388.0
17,0,23.0,165298.0
23,0,7.0,106644.0
